,X,Y,GDD_2P67,inside_pol,Target,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
23,654441.0,5900086.68453892,9.76,0.0,0,15,13,11,8,5,2,0,-1,1,4,8,13,15,15,14,12,11,12,13,14,15,14,14,13,14,15,16,15,12,9,8,8,8,9,9,8,7,7,8,10,11,12,12,12,12,13,14,15,16,15,13,10,7,6,7,8,8,8,7,7,7,7,6,5,2,-2,-5,-5,-1,3,7,9,9,8,7,6,5,5,5,6,7,9,11,11,11,11,10,10,11,11,12,13,14,17,20,22,22,20,18,15
24,655013.5,5900094.1845389195,8.36,0.0,0,13,10,7,6,7,8,8,8,7,7,7,7,6,5,2,-2,-5,-5,-1,3,7,9,9,8,7,6,5,5,5,6,7,9,11,11,11,11,10,10,11,11,12,13,14,17,20,22,22,20,18,15,13,12,12,12,11,9,7,4,2,2,3,5,7,8,6,4,2,3,5,8,10,11,10,9,8,9,10,11,11,9,6,3,1,-1,-1,11,11,11,11,10,9,7,5,5,7,9,11,13,16,19
25,651088.5,5900119.1845389195,8.86,0.0,0,13,12,12,12,11,9,7,4,2,2,3,5,7,8,6,4,2,3,5,8,10,11,10,9,8,9,10,11,11,9,6,3,1,-1,-1,11,11,11,11,10,9,7,5,5,7,9,11,13,16,19,21,22,23,23,23,21,18,14,11,10,10,10,9,7,5,3,2,1,1,2,3,4,5,4,4,5,7,10,14,17,18,17,15,12,9,6,5,3,2,2,2,4,7,10,12,13,13,12,10,9
26,649091.0,5900136.68453892,11.18,0.0,0,21,22,23,23,23,21,18,14,11,10,10,10,9,7,5,3,2,1,1,2,3,4,5,4,4,5,7,10,14,17,18,17,15,12,9,6,5,3,2,2,2,4,7,10,12,13,13,12,10,9,9,9,10,10,10,10,10,12,14,17,20,21,21,19,16,14,12,12,12,13,14,16,17,17,16,15,14,14,14,14,13,14,14,15,16,16,16,15,12,9,6,5,4,5,6,7,9,9,8,7
27,651591.0,5900136.68453892,11.6,0.0,0,9,9,10,10,10,10,10,12,14,17,20,21,21,19,16,14,12,12,12,13,14,16,17,17,16,15,14,14,14,14,13,14,14,15,16,16,16,15,12,9,6,5,4,5,6,7,9,9,8,7,7,9,11,14,16,17,16,15,13,10,6,3,0,-2,-3,-1,2,7,11,14,14,14,12,12,12,13,14,14,14,14,14,15,17,18,17,14,11,9,9,9,10,9,8,7,7,9,10,12,14,15
28,654091.0,5900136.68453892,9.16,0.0,0,7,9,11,14,16,17,16,15,13,10,6,3,0,-2,-3,-1,2,7,11,14,14,14,12,12,12,13,14,14,14,14,14,15,17,18,17,14,11,9,9,9,10,9,8,7,7,9,10,12,14,15,15,15,14,15,15,16,15,12,10,7,6,6,7,7,6,6,6,7,7,6,4,1,-2,-5,-5,-2,2,6,8,8,8,7,6,5,4,3,4,6,9,11,13,12,11,9,9,9,10,10,11,14
29,655688.0,5900140.1845389195,8.4,0.0,0,15,15,14,15,15,16,15,12,10,7,6,6,7,7,6,6,6,7,7,6,4,1,-2,-5,-5,-2,2,6,8,8,8,7,6,5,4,3,4,6,9,11,13,12,11,9,9,9,10,10,11,14,17,20,22,22,20,17,14,11,10,10,11,10,8,5,2,1,1,3,6,9,10,9,6,5,5,8,10,11,11,10,9,8,8,9,10,10,9,6,3,1,-1,-1,-1,11,12,13,14,13,11,8
30,651738.0,5900165.184538921,9.68,0.0,0,17,20,22,22,20,17,14,11,10,10,11,10,8,5,2,1,1,3,6,9,10,9,6,5,5,8,10,11,11,10,9,8,8,9,10,10,9,6,3,1,-1,-1,-1,11,12,13,14,13,11,8,5,5,7,9,11,14,16,19,22,24,25,25,23,21,19,15,12,10,9,8,7,5,4,3,3,3,4,4,5,5,5,5,5,6,8,11,13,15,15,15,14,12,11,9,8,6,4,3,2,3
31,648691.0,5900186.684538921,11.53,0.0,0,5,5,7,9,11,14,16,19,22,24,25,25,23,21,19,15,12,10,9,8,7,5,4,3,3,3,4,4,5,5,5,5,5,6,8,11,13,15,15,15,14,12,11,9,8,6,4,3,2,3,5,8,11,13,14,13,12,11,11,11,12,12,12,12,12,12,13,15,17,18,18,17,15,14,13,12,11,11,11,12,13,13,13,12,12,12,13,14,14,15,15,15,15,16,17,16,14,11,8,5
32,651191.0,5900186.684538921,11.56,0.0,0,5,8,11,13,14,13,12,11,11,11,12,12,12,12,12,12,13,15,17,18,18,17,15,14,13,12,11,11,11,12,13,13,13,12,12,12,13,14,14,15,15,15,15,16,17,16,14,11,8,5,4,5,6,8,10,11,10,10,10,11,13,14,15,16,16,15,12,8,3,0,-3,-3,-2,0,2,6,9,11,13,13,13,12,12,13,13,13,13,14,15,16,17,18,18,16,14,12,11,11,11,10
33,653691.0,5900186.684538921,9.05,0.0,0,4,5,6,8,10,11,10,10,10,11,13,14,15,16,16,15,12,8,3,0,-3,-3,-2,0,2,6,9,11,13,13,13,12,12,13,13,13,13,14,15,16,17,18,18,16,14,12,11,11,11,10,9,8,8,9,11,13,16,18,19,18,17,15,14,14,12,11,9,8,7,7,6,6,5,5,6,7,7,6,4,1,-1,-3,-4,-2,1,5,7,8,8,7,7,5,4,2,2,4,8,11,13,12
34,656191.0,5900186.684538921,8.18,0.0,0,9,8,8,9,11,13,16,18,19,18,17,15,14,14,12,11,9,8,7,7,6,6,5,5,6,7,7,6,4,1,-1,-3,-4,-2,1,5,7,8,8,7,7,5,4,2,2,4,8,11,13,12,10,9,8,9,9,9,10,12,15,18,20,20,18,15,12,10,9,9,10,9,7,4,1,0,1,3,6,8,10,9,8,7,8,9,10,11,10,9,8,7,7,8,9,9,9,6,4,1,-1,-1
